order_id,customer_id,order_date,ship_date,ship_mode
OR-300952,CU-100122,2023-11-11,2023-11-15,Same Day
OR-300953,CU-101081,2023-12-28,2023-12-29,Same Day
OR-300954,CU-101610,2022-12-05,2022-12-08,Second Class
OR-300955,CU-100260,2022-01-11,2022-01-16,Standard Class
OR-300956,CU-101648,2023-06-16,2023-06-20,First Class
OR-300957,CU-102257,2024-04-17,2024-04-23,Standard Class
OR-300958,CU-100880,2023-03-20,2023-03-23,Second Class
OR-300959,CU-100127,2022-05-21,2022-05-23,First Class
OR-300960,CU-102369,2022-08-26,2022-08-28,Same Day
OR-300961,CU-102704,2024-10-05,2024-10-06,Same Day
OR-300962,CU-102447,2023-02-22,2023-02-28,Second Class
OR-300963,CU-101445,2022-12-01,2022-12-03,Standard Class
OR-300964,CU-101044,2022-01-15,2022-01-19,Same Day
OR-300965,CU-100537,2022-03-09,2022-03-15,Second Class
OR-300966,CU-101758,2023-10-14,2023-10-18,Standard Class
OR-300967,CU-100539,2023-04-17,2023-04-24,Second Class
OR-300968,CU-100617,2023-03-29,2023-03-30,First Class
OR-300969,CU-100198,2023-08-14,2023-08-17,Standard Class
OR-300970,CU-101036,2023-06-07,2023-06-13,Same Day
OR-300971,CU-100418,2023-06-10,2023-06-11,Second Class
OR-300972,CU-100539,2024-07-24,2024-07-27,First Class
OR-300973,CU-101860,2024-06-26,2024-06-30,Second Class
OR-300974,CU-101170,2024-10-11,2024-10-13,Same Day
OR-300975,CU-101311,2022-01-30,2022-02-01,Same Day
OR-300976,CU-101783,2022-01-17,2022-01-24,Second Class
OR-300977,CU-102038,2024-10-02,2024-10-09,First Class
OR-300978,CU-100844,2022-06-27,2022-07-03,Second Class
OR-300979,CU-101599,2022-05-09,2022-05-13,Second Class
OR-300980,CU-101474,2023-04-12,2023-04-15,Second Class
OR-300981,CU-101694,2022-02-04,2022-02-07,Second Class
OR-300982,CU-100926,2022-08-12,2022-08-19,First Class
OR-300983,CU-101988,2024-11-14,2024-11-16,First Class
OR-300984,CU-100608,2022-07-17,2022-07-18,Same Day
OR-300985,CU-100446,2022-02-01,2022-02-02,Same Day
OR-300986,CU-102782,2023-11-12,2023-11-15,Same Day
OR-300987,CU-100760,2022-09-20,2022-09-26,First Class
OR-300988,CU-100188,2023-05-27,2023-05-30,First Class
OR-300989,CU-102180,2022-09-21,2022-09-26,Same Day
OR-300990,CU-101597,2024-01-08,2024-01-13,Second Class
OR-300991,CU-102682,2022-03-12,2022-03-16,First Class
OR-300992,CU-100062,2024-03-04,2024-03-05,First Class
OR-300993,CU-100396,2022-09-08,2022-09-14,First Class
OR-300994,CU-100377,2022-02-21,2022-02-28,Standard Class
OR-300995,CU-101457,2024-04-26,2024-05-02,Standard Class
OR-300996,CU-100535,2022-08-25,2022-08-28,Second Class
OR-300997,CU-101798,2022-01-29,2022-02-01,Same Day
OR-300998,CU-101268,2024-07-30,2024-08-03,Same Day
OR-300999,CU-102251,2022-11-13,2022-11-14,Second Class
OR-301000,CU-102275,2023-06-20,2023-06-27,Same Day
OR-301001,CU-102637,2024-06-01,2024-06-06,Second Class
OR-301002,CU-101118,2023-12-23,2023-12-25,Standard Class
OR-301003,CU-102303,2022-07-07,2022-07-08,First Class
OR-301004,CU-102166,2022-07-14,2022-07-15,Same Day
OR-301005,CU-100808,2022-08-02,2022-08-04,Same Day
OR-301006,CU-101999,2024-01-20,2024-01-25,Second Class
OR-301007,CU-102243,2023-09-02,2023-09-04,Same Day
OR-301008,CU-100751,2023-02-12,2023-02-16,First Class
OR-301009,CU-101277,2022-07-03,2022-07-06,Same Day
OR-301010,CU-101851,2023-01-07,2023-01-08,Same Day
OR-301011,CU-101251,2023-04-04,2023-04-10,Second Class
OR-301012,CU-100648,2023-07-01,2023-07-04,Same Day
OR-301013,CU-100800,2022-11-18,2022-11-25,Same Day
OR-301014,CU-101393,2024-04-12,2024-04-17,Same Day
OR-301015,CU-101420,2024-10-22,2024-10-26,Same Day
OR-301016,CU-102694,2024-05-18,2024-05-25,First Class
OR-301017,CU-101815,2023-06-02,2023-06-09,First Class
OR-301018,CU-100988,2024-06-25,2024-06-29,Second Class
OR-301019,CU-101631,2023-10-07,2023-10-09,First Class
OR-301020,CU-101523,2024-04-05,2024-04-10,Second Class
OR-301021,CU-100119,2024-08-30,2024-09-01,Same Day
OR-301022,CU-100120,2023-10-06,2023-10-07,Standard Class
OR-301023,CU-101913,2023-07-30,2023-08-05,Same Day
OR-301024,CU-100600,2022-04-20,2022-04-26,First Class
OR-301025,CU-100183,2024-09-16,2024-09-23,Standard Class
OR-301026,CU-101079,2023-05-31,2023-06-02,First Class
OR-301027,CU-101652,2024-12-17,2024-12-21,First Class
OR-301028,CU-101891,2023-06-04,2023-06-07,First Class
OR-301029,CU-102050,2024-07-02,2024-07-03,First Class
OR-301030,CU-101656,2024-01-15,2024-01-16,Standard Class
OR-301031,CU-101772,2023-11-04,2023-11-10,First Class
OR-301032,CU-100756,2024-11-18,2024-11-19,Standard Class
OR-301033,CU-100338,2024-05-26,2024-05-30,First Class
OR-301034,CU-102565,2024-02-01,2024-02-05,Standard Class
OR-301035,CU-101560,2023-02-06,2023-02-08,Standard Class
OR-301036,CU-102632,2022-08-29,2022-09-05,First Class
OR-301037,CU-101336,2022-01-09,2022-01-10,First Class
OR-301038,CU-100227,2023-09-09,2023-09-14,Standard Class
OR-301039,CU-101419,2023-09-01,2023-09-06,First Class
OR-301040,CU-100346,2022-11-18,2022-11-22,Second Class
OR-301041,CU-100756,2024-01-13,2024-01-16,Same Day
OR-301042,CU-102055,2024-07-17,2024-07-21,Standard Class
OR-301043,CU-101180,2024-04-13,2024-04-19,First Class
OR-301044,CU-101479,2023-12-11,2023-12-18,First Class
OR-301045,CU-101350,2023-09-07,2023-09-11,Same Day
OR-301046,CU-100069,2024-10-07,2024-10-08,First Class
OR-301047,CU-100543,2023-02-09,2023-02-15,First Class
OR-301048,CU-100626,2024-10-02,2024-10-04,Same Day
OR-301049,CU-101446,2023-12-30,2024-01-04,First Class
OR-301050,CU-100221,2023-12-31,2024-01-07,Standard Class
OR-301051,CU-101315,2022-11-21,2022-11-22,Same Day
OR-301052,CU-101721,2022-03-15,2022-03-20,First Class
OR-301053,CU-100320,2022-07-10,2022-07-11,First Class
OR-301054,CU-102898,2023-03-21,2023-03-26,Same Day
OR-301055,CU-100694,2022-05-09,2022-05-14,Second Class
OR-301056,CU-102099,2022-07-09,2022-07-11,First Class
OR-301057,CU-102655,2023-02-02,2023-02-09,Second Class
OR-301058,CU-100361,2023-09-19,2023-09-22,Same Day
OR-301059,CU-102677,2022-10-23,2022-10-25,First Class
OR-301060,CU-102275,2024-02-08,2024-02-11,Same Day
OR-301061,CU-101571,2024-10-01,2024-10-03,Second Class
OR-301062,CU-101105,2022-04-20,2022-04-24,Standard Class
OR-301063,CU-101087,2023-11-07,2023-11-10,Same Day
OR-301064,CU-100539,2024-03-21,2024-03-27,Same Day
OR-301065,CU-101195,2022-11-06,2022-11-07,Same Day
OR-301066,CU-101296,2023-10-17,2023-10-18,Standard Class
OR-301067,CU-102935,2022-04-08,2022-04-15,First Class
OR-301068,CU-102011,2022-03-30,2022-03-31,First Class
OR-301069,CU-101664,2024-01-12,2024-01-17,Standard Class
OR-301070,CU-100183,2023-10-02,2023-10-09,Standard Class
OR-301071,CU-100451,2023-08-02,2023-08-06,Second Class
OR-301072,CU-101684,2023-12-21,2023-12-25,Standard Class
OR-301073,CU-101334,2023-11-11,2023-11-14,Second Class
OR-301074,CU-101745,2022-01-06,2022-01-09,Same Day
OR-301075,CU-100374,2024-02-24,2024-02-28,Second Class
OR-301076,CU-101517,2023-07-13,2023-07-18,First Class
OR-301077,CU-101111,2022-12-28,2023-01-01,First Class
OR-301078,CU-101294,2022-07-21,2022-07-22,Second Class
OR-301079,CU-102902,2024-01-25,2024-01-31,First Class
OR-301080,CU-101838,2022-03-09,2022-03-15,Second Class
OR-301081,CU-100251,2022-08-16,2022-08-23,Second Class
OR-301082,CU-102208,2024-02-06,2024-02-10,Standard Class
OR-301083,CU-102415,2022-06-21,2022-06-28,Same Day
OR-301084,CU-102466,2023-06-12,2023-06-18,First Class
OR-301085,CU-101453,2022-11-02,2022-11-08,First Class
OR-301086,CU-101605,2023-01-04,2023-01-11,Standard Class
OR-301087,CU-100265,2022-09-06,2022-09-11,Same Day
OR-301088,CU-100902,2024-06-11,2024-06-18,Standard Class
OR-301089,CU-100275,2024-08-15,2024-08-16,Standard Class
OR-301090,CU-102145,2024-08-03,2024-08-07,Same Day
OR-301091,CU-100115,2024-10-02,2024-10-06,Second Class
OR-301092,CU-102987,2024-07-30,2024-08-06,First Class
OR-301093,CU-102617,2024-08-26,2024-08-28,First Class
OR-301094,CU-101073,2024-11-09,2024-11-13,First Class
OR-301095,CU-100147,2022-06-14,2022-06-19,Second Class
OR-301096,CU-100504,2022-11-01,2022-11-05,Same Day
OR-301097,CU-100863,2024-01-27,2024-01-29,Standard Class
OR-301098,CU-102111,2024-09-04,2024-09-07,Second Class
OR-301099,CU-101038,2024-09-10,2024-09-15,Standard Class
OR-301100,CU-102413,2023-02-08,2023-02-11,First Class
OR-301101,CU-100562,2023-03-29,2023-03-30,Same Day
OR-301102,CU-102968,2024-09-15,2024-09-22,Standard Class
OR-301103,CU-101881,2022-11-20,2022-11-21,First Class
OR-301104,CU-101846,2023-12-23,2023-12-27,Second Class
OR-301105,CU-102372,2023-07-13,2023-07-16,Standard Class
OR-301106,CU-101993,2024-08-28,2024-08-31,Second Class
OR-301107,CU-102570,2023-05-18,2023-05-21,Same Day
OR-301108,CU-102633,2022-07-09,2022-07-16,Same Day
OR-301109,CU-101399,2023-05-29,2023-06-05,Same Day
OR-301110,CU-100938,2023-07-20,2023-07-24,Same Day
OR-301111,CU-100203,2022-04-14,2022-04-18,Standard Class
OR-301112,CU-100305,2023-06-16,2023-06-22,Standard Class
OR-301113,CU-102487,2023-11-23,2023-11-27,First Class
OR-301114,CU-100785,2023-03-24,2023-03-30,Second Class
OR-301115,CU-101939,2022-12-16,2022-12-21,Standard Class
OR-301116,CU-101107,2024-10-28,2024-10-29,First Class
OR-301117,CU-101482,2024-03-23,2024-03-28,Second Class
OR-301118,CU-100494,2022-11-29,2022-12-06,Standard Class
OR-301119,CU-102072,2023-09-12,2023-09-18,First Class
OR-301120,CU-102484,2022-07-28,2022-08-01,First Class
OR-301121,CU-100562,2023-03-22,2023-03-23,First Class
OR-301122,CU-100647,2022-01-21,2022-01-23,First Class
OR-301123,CU-101273,2022-10-03,2022-10-08,Second Class
OR-301124,CU-100212,2022-02-11,2022-02-13,Second Class
OR-301125,CU-102450,2024-10-06,2024-10-08,First Class
OR-301126,CU-102379,2023-10-16,2023-10-22,Second Class
OR-301127,CU-102746,2022-12-07,2022-12-14,Same Day
OR-301128,CU-100330,2024-05-23,2024-05-29,Second Class
OR-301129,CU-102948,2022-04-27,2022-04-30,Standard Class
OR-301130,CU-101698,2022-09-14,2022-09-21,Standard Class
OR-301131,CU-100701,2022-11-30,2022-12-03,First Class
OR-301132,CU-102883,2022-07-23,2022-07-24,Same Day
OR-301133,CU-101068,2022-10-03,2022-10-07,Same Day
OR-301134,CU-100942,2023-12-25,2024-01-01,First Class
OR-301135,CU-100843,2023-05-04,2023-05-05,Standard Class
OR-301136,CU-101524,2022-07-09,2022-07-15,Standard Class
OR-301137,CU-101035,2022-02-18,2022-02-23,Standard Class
OR-301138,CU-100525,2022-02-12,2022-02-15,Second Class
OR-301139,CU-100007,2022-05-15,2022-05-16,First Class
OR-301140,CU-101864,2023-09-14,2023-09-16,Standard Class
OR-301141,CU-102270,2024-10-14,2024-10-20,Same Day
OR-301142,CU-100658,2022-03-27,2022-03-30,Same Day
OR-301143,CU-100346,2024-07-23,2024-07-30,Second Class
OR-301144,CU-101984,2023-10-16,2023-10-21,First Class
OR-301145,CU-101142,2023-09-19,2023-09-24,Second Class
OR-301146,CU-101722,2024-07-23,2024-07-24,Second Class
OR-301147,CU-100807,2024-07-28,2024-08-02,First Class
OR-301148,CU-101093,2023-08-02,2023-08-09,Standard Class
OR-301149,CU-100128,2022-03-21,2022-03-25,Second Class
OR-301150,CU-100278,2022-09-13,2022-09-20,Second Class
OR-301151,CU-101674,2024-09-17,2024-09-18,Same Day
OR-301152,CU-100064,2022-08-29,2022-09-03,Same Day
OR-301153,CU-102513,2024-09-15,2024-09-21,First Class
OR-301154,CU-100932,2024-11-17,2024-11-18,Same Day
OR-301155,CU-101181,2023-05-17,2023-05-19,Second Class
OR-301156,CU-101522,2022-07-18,2022-07-23,Standard Class
OR-301157,CU-102985,2022-11-13,2022-11-16,Same Day
OR-301158,CU-100113,2024-02-16,2024-02-17,Same Day
OR-301159,CU-100135,2024-01-09,2024-01-16,Second Class
OR-301160,CU-101497,2023-02-14,2023-02-19,First Class
OR-301161,CU-102503,2023-09-30,2023-10-03,Second Class
OR-301162,CU-102377,2023-09-29,2023-09-30,Second Class
OR-301163,CU-102742,2023-11-14,2023-11-20,Second Class
OR-301164,CU-102036,2024-11-07,2024-11-08,Same Day
OR-301165,CU-102001,2024-09-15,2024-09-18,First Class
OR-301166,CU-101598,2023-09-02,2023-09-07,Same Day
OR-301167,CU-102303,2023-12-22,2023-12-28,First Class
OR-301168,CU-100911,2022-10-17,2022-10-24,First Class
OR-301169,CU-102786,2023-09-01,2023-09-03,First Class
OR-301170,CU-101254,2023-12-27,2024-01-02,First Class
OR-301171,CU-101146,2022-02-18,2022-02-20,Second Class
OR-301172,CU-102729,2023-07-21,2023-07-22,First Class
OR-301173,CU-102661,2023-08-21,2023-08-27,First Class
OR-301174,CU-100938,2024-07-24,2024-07-26,Second Class
OR-301175,CU-102331,2024-02-23,2024-03-01,First Class
OR-301176,CU-102291,2023-02-03,2023-02-04,Same Day
OR-301177,CU-100932,2022-08-04,2022-08-06,Same Day
OR-301178,CU-101859,2024-02-04,2024-02-09,Standard Class
OR-301179,CU-101956,2022-06-24,2022-07-01,Second Class
OR-301180,CU-101004,2023-10-25,2023-10-30,Same Day
OR-301181,CU-102555,2024-11-22,2024-11-28,Same Day
OR-301182,CU-100274,2024-08-10,2024-08-13,Standard Class
OR-301183,CU-102660,2023-12-17,2023-12-22,Same Day
OR-301184,CU-102547,2023-08-20,2023-08-26,Same Day
OR-301185,CU-101263,2023-04-08,2023-04-14,First Class
OR-301186,CU-101173,2022-08-07,2022-08-11,Same Day
OR-301187,CU-102644,2024-06-13,2024-06-17,Second Class
OR-301188,CU-102744,2024-12-04,2024-12-06,First Class
OR-301189,CU-101411,2022-05-20,2022-05-27,Same Day
OR-301190,CU-100853,2023-12-03,2023-12-10,Same Day
OR-301191,CU-100296,2022-11-13,2022-11-20,Second Class
OR-301192,CU-102359,2023-12-16,2023-12-23,Standard Class
OR-301193,CU-102202,2023-03-12,2023-03-16,Standard Class
OR-301194,CU-100774,2022-09-14,2022-09-19,First Class
OR-301195,CU-101138,2023-05-06,2023-05-08,Same Day
OR-301196,CU-102705,2024-09-26,2024-09-29,First Class
OR-301197,CU-100763,2022-06-12,2022-06-15,Same Day
OR-301198,CU-100957,2022-05-11,2022-05-14,Standard Class
OR-301199,CU-100058,2024-08-02,2024-08-08,Standard Class
OR-301200,CU-101978,2022-05-26,2022-05-29,First Class
OR-301201,CU-101215,2023-10-09,2023-10-13,Second Class
OR-301202,CU-101802,2024-03-31,2024-04-04,Same Day
OR-301203,CU-101313,2023-01-14,2023-01-15,Same Day
OR-301204,CU-100682,2022-01-11,2022-01-15,Standard Class
OR-301205,CU-101556,2024-09-07,2024-09-09,First Class
OR-301206,CU-100458,2024-11-07,2024-11-10,Standard Class
OR-301207,CU-102897,2024-12-07,2024-12-09,First Class
OR-301208,CU-102054,2024-07-23,2024-07-29,Standard Class
OR-301209,CU-102222,2023-12-29,2024-01-04,Same Day
OR-301210,CU-101770,2022-09-22,2022-09-25,Same Day
OR-301211,CU-101874,2023-01-27,2023-01-31,Same Day
OR-301212,CU-102485,2022-04-30,2022-05-06,First Class
OR-301213,CU-102343,2022-03-26,2022-04-01,First Class
OR-301214,CU-100965,2023-03-11,2023-03-17,First Class
OR-301215,CU-100525,2023-10-24,2023-10-26,Standard Class
OR-301216,CU-100776,2023-12-11,2023-12-12,Same Day
OR-301217,CU-101907,2022-02-20,2022-02-22,First Class
OR-301218,CU-100989,2022-09-22,2022-09-29,Same Day
OR-301219,CU-101595,2024-04-12,2024-04-16,Standard Class
OR-301220,CU-101416,2022-05-01,2022-05-07,Standard Class
OR-301221,CU-102210,2023-11-08,2023-11-13,Second Class
OR-301222,CU-100449,2022-10-31,2022-11-04,First Class
OR-301223,CU-100366,2024-05-13,2024-05-19,Second Class
OR-301224,CU-101029,2023-01-24,2023-01-28,First Class
OR-301225,CU-101035,2022-10-29,2022-10-31,Standard Class
OR-301226,CU-102048,2023-05-05,2023-05-08,Second Class
OR-301227,CU-100177,2022-05-03,2022-05-09,Same Day
OR-301228,CU-101514,2024-04-26,2024-04-27,Same Day
OR-301229,CU-100902,2023-01-12,2023-01-18,First Class
OR-301230,CU-102108,2024-01-21,2024-01-22,Same Day
OR-301231,CU-101618,2023-07-12,2023-07-17,First Class
OR-301232,CU-101965,2024-01-25,2024-02-01,Second Class
OR-301233,CU-102291,2022-10-20,2022-10-21,Standard Class
OR-301234,CU-101512,2022-03-09,2022-03-10,First Class
OR-301235,CU-102043,2024-04-05,2024-04-09,Standard Class
OR-301236,CU-101765,2024-03-14,2024-03-18,First Class
OR-301237,CU-102794,2023-12-31,2024-01-06,Standard Class
OR-301238,CU-100650,2024-09-26,2024-09-28,First Class
OR-301239,CU-100410,2023-09-03,2023-09-08,Same Day
OR-301240,CU-102056,2024-03-01,2024-03-08,Same Day
OR-301241,CU-102550,2024-01-08,2024-01-09,Same Day
OR-301242,CU-101618,2023-01-26,2023-01-29,Same Day
OR-301243,CU-100113,2022-06-07,2022-06-11,Second Class
OR-301244,CU-100984,2022-07-23,2022-07-26,Second Class
OR-301245,CU-102431,2022-12-30,2022-12-31,Second Class
OR-301246,CU-102356,2022-01-29,2022-01-30,Standard Class
OR-301247,CU-101896,2024-02-10,2024-02-17,First Class
OR-301248,CU-101970,2022-08-21,2022-08-24,Standard Class
OR-301249,CU-102183,2023-01-17,2023-01-18,First Class
OR-301250,CU-100039,2023-02-18,2023-02-21,Standard Class
OR-301251,CU-100879,2022-12-31,2023-01-03,Standard Class
OR-301252,CU-100175,2022-12-02,2022-12-03,Second Class
OR-301253,CU-100678,2024-12-19,2024-12-25,Second Class
OR-301254,CU-101773,2024-08-17,2024-08-24,Same Day
OR-301255,CU-101770,2024-06-25,2024-06-27,Standard Class
OR-301256,CU-102759,2022-01-25,2022-01-28,Second Class
OR-301257,CU-101403,2022-02-26,2022-03-02,First Class
OR-301258,CU-102015,2022-04-12,2022-04-18,Standard Class
OR-301259,CU-101342,2022-01-16,2022-01-17,Same Day
OR-301260,CU-100482,2023-04-29,2023-05-01,Standard Class
OR-301261,CU-101490,2022-03-02,2022-03-04,First Class
OR-301262,CU-102921,2023-07-14,2023-07-21,Same Day
OR-301263,CU-102214,2023-12-22,2023-12-29,Same Day
OR-301264,CU-102693,2024-12-03,2024-12-04,Standard Class
OR-301265,CU-102047,2024-04-03,2024-04-07,Same Day
OR-301266,CU-101911,2022-03-24,2022-03-26,Second Class
OR-301267,CU-102691,2022-10-06,2022-10-09,Second Class
OR-301268,CU-101942,2023-04-28,2023-05-01,Same Day
OR-301269,CU-100669,2023-06-07,2023-06-08,Second Class
OR-301270,CU-100982,2022-06-08,2022-06-13,Same Day
OR-301271,CU-100477,2023-06-21,2023-06-27,Second Class
OR-301272,CU-101406,2022-12-29,2023-01-05,Same Day
OR-301273,CU-101130,2023-06-30,2023-07-03,First Class
OR-301274,CU-101189,2022-10-29,2022-10-30,Standard Class
OR-301275,CU-102325,2023-11-12,2023-11-16,First Class
OR-301276,CU-100449,2024-01-22,2024-01-23,Second Class
OR-301277,CU-100711,2023-05-31,2023-06-06,Same Day
OR-301278,CU-102642,2022-08-31,2022-09-03,Second Class
OR-301279,CU-102666,2022-06-04,2022-06-11,Second Class
OR-301280,CU-102060,2022-07-07,2022-07-09,First Class
OR-301281,CU-100467,2022-02-24,2022-02-28,Same Day
OR-301282,CU-102011,2022-03-17,2022-03-21,First Class
OR-301283,CU-101433,2022-01-19,2022-01-20,Standard Class
OR-301284,CU-101968,2022-12-05,2022-12-10,Same Day
OR-301285,CU-101209,2022-10-16,2022-10-19,Standard Class
OR-301286,CU-101948,2023-04-02,2023-04-09,Same Day
OR-301287,CU-101319,2023-07-14,2023-07-18,First Class
OR-301288,CU-101779,2022-02-02,2022-02-06,First Class
OR-301289,CU-102755,2022-07-31,2022-08-03,Standard Class
OR-301290,CU-101569,2024-05-21,2024-05-27,Standard Class
OR-301291,CU-102684,2023-08-09,2023-08-10,Standard Class
OR-301292,CU-100984,2023-11-20,2023-11-22,First Class
OR-301293,CU-101484,2023-10-23,2023-10-27,Second Class
OR-301294,CU-100210,2022-06-18,2022-06-24,Same Day
OR-301295,CU-102556,2024-03-24,2024-03-28,First Class
OR-301296,CU-101102,2022-03-19,2022-03-23,Standard Class
OR-301297,CU-100336,2022-09-21,2022-09-24,Second Class
OR-301298,CU-100535,2024-06-08,2024-06-14,Second Class
OR-301299,CU-101007,2023-02-23,2023-02-26,Same Day
OR-301300,CU-101838,2022-10-22,2022-10-27,Second Class
OR-301301,CU-100947,2022-05-06,2022-05-11,First Class
OR-301302,CU-102266,2022-04-09,2022-04-15,Second Class
OR-301303,CU-102962,2024-04-26,2024-04-30,Same Day
OR-301304,CU-102956,2022-08-16,2022-08-17,Standard Class
OR-301305,CU-100787,2023-05-26,2023-05-28,Standard Class
OR-301306,CU-101902,2022-02-16,2022-02-18,Same Day
OR-301307,CU-101955,2024-06-13,2024-06-15,Standard Class
OR-301308,CU-100691,2023-12-08,2023-12-10,Standard Class
OR-301309,CU-102237,2023-01-06,2023-01-11,First Class
OR-301310,CU-101229,2024-01-04,2024-01-05,Same Day
OR-301311,CU-102392,2022-01-13,2022-01-14,First Class
OR-301312,CU-102155,2024-02-09,2024-02-13,First Class
OR-301313,CU-102523,2023-04-13,2023-04-17,Same Day
OR-301314,CU-101268,2022-06-07,2022-06-11,Same Day
OR-301315,CU-101734,2022-03-29,2022-04-04,Second Class
OR-301316,CU-101996,2022-09-19,2022-09-26,Standard Class
OR-301317,CU-100369,2023-12-29,2024-01-04,Standard Class
OR-301318,CU-102316,2023-05-06,2023-05-10,Second Class
OR-301319,CU-102092,2022-11-01,2022-11-04,Same Day
OR-301320,CU-101672,2023-02-10,2023-02-11,Same Day
OR-301321,CU-101423,2022-06-10,2022-06-14,First Class
OR-301322,CU-101599,2023-02-22,2023-02-23,Standard Class
OR-301323,CU-101445,2024-10-01,2024-10-05,First Class
OR-301324,CU-102145,2022-12-23,2022-12-29,Same Day
OR-301325,CU-100619,2022-01-27,2022-01-29,Standard Class
OR-301326,CU-100321,2024-08-13,2024-08-17,Standard Class
OR-301327,CU-102077,2022-05-31,2022-06-06,Second Class
OR-301328,CU-102937,2022-12-21,2022-12-27,First Class
OR-301329,CU-102820,2023-02-10,2023-02-16,Standard Class
OR-301330,CU-100401,2023-12-03,2023-12-04,Second Class
OR-301331,CU-100274,2022-09-15,2022-09-21,Same Day
OR-301332,CU-100693,2022-01-09,2022-01-15,Standard Class
OR-301333,CU-100682,2022-10-02,2022-10-08,Same Day
OR-301334,CU-102308,2022-02-18,2022-02-25,Second Class
OR-301335,CU-100314,2023-05-02,2023-05-07,Same Day
OR-301336,CU-101816,2024-11-21,2024-11-23,Second Class
OR-301337,CU-100479,2023-08-07,2023-08-08,Second Class
OR-301338,CU-102916,2023-03-16,2023-03-21,Standard Class
OR-301339,CU-101622,2024-09-03,2024-09-07,Second Class
OR-301340,CU-102008,2023-08-11,2023-08-18,Second Class
OR-301341,CU-100987,2022-04-13,2022-04-20,First Class
OR-301342,CU-101342,2024-11-22,2024-11-23,First Class
OR-301343,CU-101292,2024-08-14,2024-08-21,Standard Class
OR-301344,CU-100143,2024-07-12,2024-07-14,First Class
OR-301345,CU-100132,2023-07-20,2023-07-21,Second Class
OR-301346,CU-100277,2024-12-08,2024-12-10,Second Class
OR-301347,CU-102218,2023-06-03,2023-06-09,Second Class
OR-301348,CU-100743,2023-10-05,2023-10-10,Same Day
OR-301349,CU-102221,2024-07-05,2024-07-11,Same Day
OR-301350,CU-102186,2024-08-02,2024-08-05,First Class
OR-301351,CU-102553,2024-07-05,2024-07-11,Standard Class
OR-301352,CU-102256,2023-10-30,2023-10-31,Second Class
OR-301353,CU-101852,2024-10-07,2024-10-08,Second Class
OR-301354,CU-101464,2024-10-28,2024-11-02,Second Class
OR-301355,CU-100695,2023-06-30,2023-07-07,Same Day
OR-301356,CU-101059,2024-01-15,2024-01-16,First Class
OR-301357,CU-101717,2022-04-10,2022-04-16,Standard Class
OR-301358,CU-101722,2024-10-09,2024-10-10,First Class
OR-301359,CU-102492,2023-02-19,2023-02-24,Second Class
OR-301360,CU-100247,2022-12-30,2023-01-06,Same Day
OR-301361,CU-101472,2022-10-11,2022-10-14,First Class
OR-301362,CU-100595,2024-08-08,2024-08-09,Same Day
OR-301363,CU-102929,2024-11-13,2024-11-19,Same Day
OR-301364,CU-102156,2022-07-16,2022-07-21,Second Class
OR-301365,CU-101149,2022-07-04,2022-07-11,Second Class
OR-301366,CU-101026,2022-07-14,2022-07-19,First Class
OR-301367,CU-100920,2022-02-27,2022-03-01,Second Class
OR-301368,CU-102239,2024-02-18,2024-02-21,Same Day
OR-301369,CU-100378,2023-02-03,2023-02-05,First Class
OR-301370,CU-102196,2023-10-05,2023-10-09,First Class
OR-301371,CU-101480,2024-06-18,2024-06-20,First Class
OR-301372,CU-100849,2024-04-09,2024-04-12,Standard Class
OR-301373,CU-100389,2022-05-06,2022-05-12,Standard Class
OR-301374,CU-102354,2023-12-22,2023-12-23,Standard Class
OR-301375,CU-102994,2024-04-29,2024-05-05,Standard Class
OR-301376,CU-100072,2022-08-01,2022-08-05,First Class
OR-301377,CU-102013,2023-08-13,2023-08-16,Same Day
OR-301378,CU-100866,2024-12-10,2024-12-15,Second Class
OR-301379,CU-100998,2022-02-22,2022-02-25,Standard Class
OR-301380,CU-101198,2022-12-31,2023-01-02,Standard Class
OR-301381,CU-102785,2023-12-27,2023-12-29,Standard Class
OR-301382,CU-102460,2023-08-28,2023-08-30,Standard Class
OR-301383,CU-100622,2023-05-06,2023-05-11,Second Class
OR-301384,CU-101459,2024-12-10,2024-12-11,Second Class
OR-301385,CU-102419,2022-04-06,2022-04-11,First Class
OR-301386,CU-102093,2024-10-11,2024-10-17,Standard Class
OR-301387,CU-102344,2023-04-20,2023-04-25,Standard Class
OR-301388,CU-100040,2022-03-02,2022-03-04,First Class
OR-301389,CU-101658,2024-02-12,2024-02-13,Same Day
OR-301390,CU-100432,2022-01-04,2022-01-06,Same Day
OR-301391,CU-102379,2023-05-21,2023-05-28,First Class
OR-301392,CU-101345,2024-09-16,2024-09-20,First Class
OR-301393,CU-100804,2024-03-30,2024-04-03,Standard Class
OR-301394,CU-101465,2023-05-08,2023-05-13,First Class
OR-301395,CU-102289,2024-08-16,2024-08-18,First Class
OR-301396,CU-102948,2023-09-16,2023-09-20,First Class
OR-301397,CU-102470,2023-09-27,2023-09-30,Same Day
OR-301398,CU-102987,2022-07-17,2022-07-18,Standard Class
OR-301399,CU-102804,2024-10-26,2024-11-01,Same Day
OR-301400,CU-102277,2024-05-09,2024-05-13,Standard Class
OR-301401,CU-102403,2022-08-29,2022-08-31,Same Day
OR-301402,CU-102294,2023-11-17,2023-11-20,Second Class
